Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Regular price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Meta: dimensions,Meta: ean
variation,MU01007701,,1,0,visible,,Dimensiuni: 45 * 63 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_01_2_1.jpg,MU0100,10,Size,12/14,,1,,Color,Alb,,1,,,,,,,,,,,,[45cm]·[63cm],8435782501339
variation,MU01000002,,1,0,visible,,Dimensiuni: 47 * 68 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,11,Size,XS,,1,,Color,Negru,,1,,,,,,,,,,,,[47cm]·[68cm],8435782500080
variation,MU01000102,,1,0,visible,,Dimensiuni: 50 * 70 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,12,Size,S,,1,,Color,Negru,,1,,,,,,,,,,,,[50cm]·[70cm],8435782500226
variation,MU01000202,,1,0,visible,,Dimensiuni: 53 * 72 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,13,Size,M,,1,,Color,Negru,,1,,,,,,,,,,,,[53cm]·[72cm],8435782500363
variation,MU01000302,,1,0,visible,,Dimensiuni: 56 * 73 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,14,Size,L,,1,,Color,Negru,,1,,,,,,,,,,,,[56cm]·[73cm],8435782500509
variation,MU01000402,,1,0,visible,,Dimensiuni: 59 * 74 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,15,Size,XL,,1,,Color,Negru,,1,,,,,,,,,,,,[59cm]·[74cm],8435782500646
variation,MU01000502,,1,0,visible,,Dimensiuni: 62 * 76 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,16,Size,2XL,,1,,Color,Negru,,1,,,,,,,,,,,,[62cm]·[76cm],8435782500783
variation,MU01000602,,1,0,visible,,Dimensiuni: 65 * 79 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,17,Size,3XL,,1,,Color,Negru,,1,,,,,,,,,,,,[65cm]·[79cm],8435782500929
variation,MU01007502,,1,0,visible,,Dimensiuni: 34 * 48 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,18,Size,4/6,,1,,Color,Negru,,1,,,,,,,,,,,,[34cm]·[48cm],8435782501063
variation,MU01007602,,1,0,visible,,Dimensiuni: 40 * 55 cm,taxable,1,0,0,51.9,,,https://static.musaibrand.com/images/models/0100/model/large/0100_02_2_1.jpg,MU0100,19,Size,8/10,,1,,Color,Negru,,1,,,,,,,,,,,,[40cm]·[55cm],8435782501209
